index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,ks_optimality,max_welfare_optimality,pareto_optimality,fairness,modified_kalai_optimality,modified_ks_optimality
0,ConcederTBNegotiator,0.5838206627680312,0.0007442816259952948,0.5835106774178102,0.5968161143599741,0.5903183885640026,S0_F-1,ConcederTBNegotiator,0.006693623843602836,ConcederTBNegotiator@0,False,False,False,,ZquVA9lkhvA,0.8213816800521802,0.8213816800521802,0.8218283087855961,0.7806795632742511,0.8338690225980921,0.8218283087855961,0.8218283087855961,0.8218283087855961
1,ConcederTBNegotiator,0.5968161143599741,0.0008771261662935939,0.5964621607620889,0.5838206627680312,0.5903183885640026,S0_F-1,ConcederTBNegotiator,0.006822751078289002,ConcederTBNegotiator@1,False,False,False,,ZquVA9lkhvA,0.8213816800521802,0.8213816800521802,0.8218283087855961,0.7806795632742511,0.8338690225980921,0.8218283087855961,0.8218283087855961,0.8218283087855961
2,GeniusBOABaselineNegotiator,0.7725532264198727,0.0009639366705748589,0.7723337705926955,0.7397660818713451,0.7561596541456088,S5_F,SmartAspirationNegotiator,0.007251419883687049,GeniusBOABaselineNegotiator@0,False,False,False,,kquhVnPYa8k,1.0,1.0,0.9807999989329749,1.0,1.0,1.0,0.9807999989329749,0.9807999989329749
3,SmartAspirationNegotiator,0.7397660818713451,0.0007811278057266481,0.7395626470132772,0.7725532264198727,0.7561596541456088,S5_F,GeniusBOABaselineNegotiator,0.013948046253062785,SmartAspirationNegotiator@1,False,False,False,,kquhVnPYa8k,1.0,1.0,0.9807999989329749,1.0,1.0,1.0,0.9807999989329749,0.9807999989329749
4,SmartAspirationNegotiator,0.7397660818713451,0.0007811278057266481,0.7395626470132772,0.7725532264198727,0.7561596541456088,S5_F-1,SmartAspirationNegotiator,0.013720214075874537,SmartAspirationNegotiator@0,False,False,False,,XBfWghaNw_s,1.0,1.0,0.9807999989329749,1.0,1.0,1.0,0.9807999989329749,0.9807999989329749
5,SmartAspirationNegotiator,0.7725532264198727,0.0009639366705748589,0.7723337705926955,0.7397660818713451,0.7561596541456088,S5_F-1,SmartAspirationNegotiator,0.014125077635981143,SmartAspirationNegotiator@1,False,False,False,,XBfWghaNw_s,1.0,1.0,0.9807999989329749,1.0,1.0,1.0,0.9807999989329749,0.9807999989329749
6,BoulwareTBNegotiator,0.4970760233918128,0.0034960628013070215,0.49531160105400646,0.502923976608187,0.4999999999999999,S4_A-1,SmartAspirationNegotiator,0.01971055183093995,BoulwareTBNegotiator@0,False,False,False,,YUBcDfYLYIA,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
7,SmartAspirationNegotiator,0.502923976608187,0.004370114375307104,0.5007421627566652,0.4970760233918128,0.4999999999999999,S4_A-1,BoulwareTBNegotiator,0.014766157255508006,SmartAspirationNegotiator@1,False,False,False,,YUBcDfYLYIA,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
8,SmartAspirationNegotiator,0.8700454840805718,0.0007442816259952948,0.869948689279566,0.48862897985705,0.6793372319688109,S0_F-1,LinearTBNegotiator,0.014397836872376502,SmartAspirationNegotiator@0,False,False,False,,b49EuD3iRAo,0.7625130806021299,0.7625130806021299,0.7805360810361862,0.8984044946650847,1.0,0.7805360810361862,0.7805360810361862,0.7805360810361862
9,LinearTBNegotiator,0.48862897985705,0.0008771261662935939,0.4881800491857597,0.8700454840805718,0.6793372319688109,S0_F-1,SmartAspirationNegotiator,0.018065959098748863,LinearTBNegotiator@1,False,False,False,,b49EuD3iRAo,0.7625130806021299,0.7625130806021299,0.7805360810361862,0.8984044946650847,1.0,0.7805360810361862,0.7805360810361862,0.7805360810361862
10,LinearTBNegotiator,0.23703471649526825,0.0012950634439420957,0.23604534675101607,0.6710310965630115,0.45403290652913986,S2_E,GeniusBOABaselineNegotiator,0.022784791828598827,LinearTBNegotiator@0,False,False,False,,yztzX_dJhzA,0.70911502398021,0.7441159507431945,0.7325810824533303,0.7392661263016912,0.9694735723246475,0.7441159507431945,0.7325810824533303,0.7325810824533303
11,GeniusBOABaselineNegotiator,0.6710310965630115,0.0006426653306037134,0.6708195436962329,0.23703471649526825,0.45403290652913986,S2_E,LinearTBNegotiator,0.007350248459260911,GeniusBOABaselineNegotiator@1,False,False,False,,yztzX_dJhzA,0.70911502398021,0.7441159507431945,0.7325810824533303,0.7392661263016912,0.9694735723246475,0.7441159507431945,0.7325810824533303,0.7325810824533303
12,LinearTBNegotiator,0.2962962962962963,0.002193248997500751,0.29474950635812935,0.8126743620608728,0.5544853291785845,S1_B,SmartAspirationNegotiator,0.020907293306663632,LinearTBNegotiator@0,False,False,False,,T1vlBVV3qt0,0.7120358572922251,0.7341014220333839,0.7341014220333839,0.8924987800608313,1.0,0.7341014220333839,0.7341014220333839,0.7341014220333839
13,SmartAspirationNegotiator,0.8126743620608728,0.0007754352238636291,0.8125289904366041,0.2962962962962963,0.5544853291785845,S1_B,LinearTBNegotiator,0.012672332755755633,SmartAspirationNegotiator@1,False,False,False,,T1vlBVV3qt0,0.7120358572922251,0.7341014220333839,0.7341014220333839,0.8924987800608313,1.0,0.7341014220333839,0.7341014220333839,0.7341014220333839
14,SmartAspirationNegotiator,0.7076023391812865,0.0034960628013070215,0.7065765122407014,0.2923976608187134,0.4999999999999999,S4_A-1,LinearTBNegotiator,0.012125952169299126,SmartAspirationNegotiator@0,False,False,False,,OIy16f4w5Zk,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.9999999999999998,0.9999999999999999,0.7894736842105263,0.7953216374269007,0.7953216374269007
15,LinearTBNegotiator,0.2923976608187134,0.004370114375307104,0.28929178463007643,0.7076023391812865,0.4999999999999999,S4_A-1,SmartAspirationNegotiator,0.02145078417379409,LinearTBNegotiator@1,False,False,False,,OIy16f4w5Zk,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.9999999999999998,0.9999999999999999,0.7894736842105263,0.7953216374269007,0.7953216374269007
16,LinearTBNegotiator,0.373015873015873,0.0007754352238636291,0.3725293101410143,0.8465608465608465,0.6097883597883598,S1_B-1,SmartAspirationNegotiator,0.020197792269755155,LinearTBNegotiator@0,False,False,False,,uoE3jROM24E,0.7804057992535158,0.7590536317045327,0.7590536317045327,0.9815144577632695,1.0,0.7804057992535158,0.7590536317045327,0.7590536317045327
17,SmartAspirationNegotiator,0.8465608465608465,0.002193248997500751,0.8462235765743289,0.373015873015873,0.6097883597883598,S1_B-1,LinearTBNegotiator,0.011542583291884512,SmartAspirationNegotiator@1,False,False,False,,uoE3jROM24E,0.7804057992535158,0.7590536317045327,0.7590536317045327,0.9815144577632695,1.0,0.7804057992535158,0.7590536317045327,0.7590536317045327
