index,running,waiting,started,step,time,relative_time,broken,timedout,agreement,results,n_negotiators,has_error,error_details,erred_negotiator,erred_agent,threads,last_thread,left_negotiators,current_offer,current_proposer,current_proposer_agent,n_acceptances,new_offers,new_offerer_agents,last_negotiator,current_data,new_data,utilities,max_utils,min_utils,reserved_values,partners,params,run_id,execution_time,negotiator_names,negotiator_ids,negotiator_types,negotiator_times,n_steps,time_limit,shared_n_steps,shared_time_limit,pend,pend_per_second,step_time_limit,negotiator_time_limit,annotation,scenario,mechanism_name,mechanism_type,effective_scenario_name,last_step,last_time,scored_indices,rep,n_repetitions,pareto_optimality,nash_optimality,kalai_optimality,modified_kalai_optimality,max_welfare_optimality,ks_optimality,modified_ks_optimality,__python_class__,fairness
0,False,False,True,3,0.01359175,0.0784313725490196,False,False,"(8, 9, 8, 'premium')",,2,False,,,,{},,[],"[8, 9, 8, 'premium']",ConcederTBNegotiator@1,,2,[],"[None, None]",ConcederTBNegotiator@1,,[],"(0.5838206627680312, 0.5968161143599741)","[1.0, 1.0]","[0.046783625730994156, 0.09356725146198831]","(0.0007442816259952948, 0.0008771261662935939)","['ConcederTBNegotiator', 'ConcederTBNegotiator']",,ZquVA9lkhvA,0.013802458008285612,"['ConcederTBNegotiator@0', 'ConcederTBNegotiator@1']","['ConcederTBNegotiator@0', 'ConcederTBNegotiator@1']","['negmas.gb.negotiators.timebased.ConcederTBNegotiator', 'negmas.gb.negotiators.timebased.ConcederTBNegotiator']","[0.006693623843602836, 0.006822751078289002]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 1, 'n_repetitions': 2}",S0_F-1,ZquVA9lkhvA,negmas.sao.mechanism.SAOMechanism,ZquVA9lkhvA,3,0.01359175,,1,2,0.8338690225980921,0.8213816800521802,0.8213816800521802,0.8218283087855961,0.7806795632742511,0.8218283087855961,0.8218283087855961,negmas.preferences.ops.OutcomeOptimality,0.8218283087855961
1,False,False,True,38,0.018525292,0.7647058823529411,False,False,"(9, 10, 7, 'standard')",,2,False,,,,{},,[],"[9, 10, 7, 'standard']",SmartAspirationNegotiator@1,,2,[],"[None, None]",SmartAspirationNegotiator@1,,[],"(0.7725532264198727, 0.7397660818713451)","[1.0, 1.0]","[0.09356725146198831, 0.046783625730994156]","(0.0009639366705748589, 0.0007811278057266481)","['GeniusBOABaselineNegotiator', 'SmartAspirationNegotiator']",,kquhVnPYa8k,0.02416741702472791,"['GeniusBOABaselineNegotiator@0', 'SmartAspirationNegotiator@1']","['GeniusBOABaselineNegotiator@0', 'SmartAspirationNegotiator@1']","['src.negotiators.GeniusBOABaselineNegotiator', 'src.negotiators.SmartAspirationNegotiator']","[0.007251419883687049, 0.013948046253062785]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 1, 'n_repetitions': 2}",S5_F,kquhVnPYa8k,negmas.sao.mechanism.SAOMechanism,kquhVnPYa8k,38,0.018525292,,1,2,1.0,1.0,1.0,0.9807999989329749,1.0,0.9807999989329749,0.9807999989329749,negmas.preferences.ops.OutcomeOptimality,1.0
2,False,False,True,37,0.019232667,0.7450980392156863,False,False,"(9, 10, 7, 'standard')",,2,False,,,,{},,[],"[9, 10, 7, 'standard']",SmartAspirationNegotiator@0,,2,"[['SmartAspirationNegotiator@0', [9, 10, 7, 'standard']]]",[None],SmartAspirationNegotiator@0,,"[['SmartAspirationNegotiator@0', None]]","(0.7397660818713451, 0.7725532264198727)","[1.0, 1.0]","[0.046783625730994156, 0.09356725146198831]","(0.0007811278057266481, 0.0009639366705748589)","['SmartAspirationNegotiator', 'SmartAspirationNegotiator']",,XBfWghaNw_s,0.030744749994482845,"['SmartAspirationNegotiator@0', 'SmartAspirationNegotiator@1']","['SmartAspirationNegotiator@0', 'SmartAspirationNegotiator@1']","['src.negotiators.SmartAspirationNegotiator', 'src.negotiators.SmartAspirationNegotiator']","[0.013720214075874537, 0.014125077635981143]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 1, 'n_repetitions': 2}",S5_F-1,XBfWghaNw_s,negmas.sao.mechanism.SAOMechanism,XBfWghaNw_s,37,0.019232667,,1,2,1.0,1.0,1.0,0.9807999989329749,1.0,0.9807999989329749,0.9807999989329749,negmas.preferences.ops.OutcomeOptimality,1.0
3,False,False,True,43,0.033065875,0.8627450980392157,False,False,"(2, 3, 8, 'premium')",,2,False,,,,{},,[],"[2, 3, 8, 'premium']",BoulwareTBNegotiator@0,,2,"[['BoulwareTBNegotiator@0', [2, 3, 8, 'premium']]]",[None],BoulwareTBNegotiator@0,,"[['BoulwareTBNegotiator@0', None]]","(0.4970760233918128, 0.502923976608187)","[1.0, 1.0]","[0.0, 0.0]","(0.0034960628013070215, 0.004370114375307104)","['BoulwareTBNegotiator', 'SmartAspirationNegotiator']",,YUBcDfYLYIA,0.037856209033634514,"['BoulwareTBNegotiator@0', 'SmartAspirationNegotiator@1']","['BoulwareTBNegotiator@0', 'SmartAspirationNegotiator@1']","['negmas.gb.negotiators.timebased.BoulwareTBNegotiator', 'src.negotiators.SmartAspirationNegotiator']","[0.01971055183093995, 0.014766157255508006]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 1, 'n_repetitions': 2}",S4_A-1,YUBcDfYLYIA,negmas.sao.mechanism.SAOMechanism,YUBcDfYLYIA,43,0.033065875,,1,2,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,negmas.preferences.ops.OutcomeOptimality,0.9999999999999998
4,False,False,True,31,0.02919475,0.6274509803921569,False,False,"(9, 9, 9, 'basic')",,2,False,,,,{},,[],"[9, 9, 9, 'basic']",SmartAspirationNegotiator@0,,2,"[['SmartAspirationNegotiator@0', [9, 9, 9, 'basic']]]",[None],SmartAspirationNegotiator@0,,"[['SmartAspirationNegotiator@0', None]]","(0.8700454840805718, 0.48862897985705)","[1.0, 1.0]","[0.046783625730994156, 0.09356725146198831]","(0.0007442816259952948, 0.0008771261662935939)","['SmartAspirationNegotiator', 'LinearTBNegotiator']",,b49EuD3iRAo,0.0349738749791868,"['SmartAspirationNegotiator@0', 'LinearTBNegotiator@1']","['SmartAspirationNegotiator@0', 'LinearTBNegotiator@1']","['src.negotiators.SmartAspirationNegotiator', 'negmas.gb.negotiators.timebased.LinearTBNegotiator']","[0.014397836872376502, 0.018065959098748863]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S0_F-1,b49EuD3iRAo,negmas.sao.mechanism.SAOMechanism,b49EuD3iRAo,31,0.02919475,,0,2,1.0,0.7625130806021299,0.7625130806021299,0.7805360810361862,0.8984044946650847,0.7805360810361862,0.7805360810361862,negmas.preferences.ops.OutcomeOptimality,0.7805360810361862
5,False,False,True,39,0.033013833,0.7843137254901961,False,False,"(6, 4, 9, 'standard')",,2,False,,,,{},,[],"[6, 4, 9, 'standard']",LinearTBNegotiator@0,,2,"[['LinearTBNegotiator@0', [6, 4, 9, 'standard']]]",[None],LinearTBNegotiator@0,,"[['LinearTBNegotiator@0', None]]","(0.23703471649526825, 0.6710310965630115)","[0.9999999999999999, 0.9999999999999999]","[0.0, 0.016366612111292964]","(0.0012950634439420957, 0.0006426653306037134)","['LinearTBNegotiator', 'GeniusBOABaselineNegotiator']",,yztzX_dJhzA,0.03325220901751891,"['LinearTBNegotiator@0', 'GeniusBOABaselineNegotiator@1']","['LinearTBNegotiator@0', 'GeniusBOABaselineNegotiator@1']","['negmas.gb.negotiators.timebased.LinearTBNegotiator', 'src.negotiators.GeniusBOABaselineNegotiator']","[0.022784791828598827, 0.007350248459260911]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S2_E,yztzX_dJhzA,negmas.sao.mechanism.SAOMechanism,yztzX_dJhzA,39,0.033013833,,0,2,0.9694735723246475,0.70911502398021,0.7441159507431945,0.7325810824533303,0.7392661263016912,0.7325810824533303,0.7325810824533303,negmas.preferences.ops.OutcomeOptimality,0.7441159507431945
6,False,False,True,36,0.031389209,0.7254901960784313,False,False,"(8, 10, 8, 'basic')",,2,False,,,,{},,[],"[8, 10, 8, 'basic']",LinearTBNegotiator@0,,2,"[['LinearTBNegotiator@0', [8, 10, 8, 'basic']]]",[None],LinearTBNegotiator@0,,"[['LinearTBNegotiator@0', None]]","(0.2962962962962963, 0.8126743620608728)","[1.0, 1.0]","[0.0, 0.023809523809523808]","(0.002193248997500751, 0.0007754352238636291)","['LinearTBNegotiator', 'SmartAspirationNegotiator']",,T1vlBVV3qt0,0.03645208297530189,"['LinearTBNegotiator@0', 'SmartAspirationNegotiator@1']","['LinearTBNegotiator@0', 'SmartAspirationNegotiator@1']","['negmas.gb.negotiators.timebased.LinearTBNegotiator', 'src.negotiators.SmartAspirationNegotiator']","[0.020907293306663632, 0.012672332755755633]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S1_B,T1vlBVV3qt0,negmas.sao.mechanism.SAOMechanism,T1vlBVV3qt0,36,0.031389209,,0,2,1.0,0.7120358572922251,0.7341014220333839,0.7341014220333839,0.8924987800608313,0.7341014220333839,0.7341014220333839,negmas.preferences.ops.OutcomeOptimality,0.7341014220333839
7,False,False,True,38,0.031775041,0.7647058823529411,False,False,"(7, 8, 8, 'basic')",,2,False,,,,{},,[],"[7, 8, 8, 'basic']",LinearTBNegotiator@1,,2,[],"[None, None]",LinearTBNegotiator@1,,[],"(0.7076023391812865, 0.2923976608187134)","[1.0, 1.0]","[0.0, 0.0]","(0.0034960628013070215, 0.004370114375307104)","['SmartAspirationNegotiator', 'LinearTBNegotiator']",,OIy16f4w5Zk,0.03658787498716265,"['SmartAspirationNegotiator@0', 'LinearTBNegotiator@1']","['SmartAspirationNegotiator@0', 'LinearTBNegotiator@1']","['src.negotiators.SmartAspirationNegotiator', 'negmas.gb.negotiators.timebased.LinearTBNegotiator']","[0.012125952169299126, 0.02145078417379409]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 1, 'n_repetitions': 2}",S4_A-1,OIy16f4w5Zk,negmas.sao.mechanism.SAOMechanism,OIy16f4w5Zk,38,0.031775041,,1,2,0.9999999999999999,0.7894736842105263,0.7894736842105263,0.7953216374269007,0.9999999999999998,0.7894736842105263,0.7953216374269007,negmas.preferences.ops.OutcomeOptimality,0.7894736842105263
8,False,False,True,33,0.029403,0.6666666666666666,False,False,"(0, 9, 4, 'premium')",,2,False,,,,{},,[],"[0, 9, 4, 'premium']",SmartAspirationNegotiator@1,,2,[],"[None, None]",SmartAspirationNegotiator@1,,[],"(0.373015873015873, 0.8465608465608465)","[1.0, 1.0]","[0.023809523809523808, 0.0]","(0.0007754352238636291, 0.002193248997500751)","['LinearTBNegotiator', 'SmartAspirationNegotiator']",,uoE3jROM24E,0.034327291999943554,"['LinearTBNegotiator@0', 'SmartAspirationNegotiator@1']","['LinearTBNegotiator@0', 'SmartAspirationNegotiator@1']","['negmas.gb.negotiators.timebased.LinearTBNegotiator', 'src.negotiators.SmartAspirationNegotiator']","[0.020197792269755155, 0.011542583291884512]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 1, 'n_repetitions': 2}",S1_B-1,uoE3jROM24E,negmas.sao.mechanism.SAOMechanism,uoE3jROM24E,33,0.029403,,1,2,1.0,0.7804057992535158,0.7590536317045327,0.7590536317045327,0.9815144577632695,0.7590536317045327,0.7590536317045327,negmas.preferences.ops.OutcomeOptimality,0.7804057992535158
9,False,False,True,38,0.029726208,0.7647058823529411,False,False,"(9, 10, 7, 'standard')",,2,False,,,,{},,[],"[9, 10, 7, 'standard']",SmartAspirationNegotiator@1,,2,[],"[None, None]",SmartAspirationNegotiator@1,,[],"(0.7725532264198727, 0.7397660818713451)","[1.0, 1.0]","[0.09356725146198831, 0.046783625730994156]","(0.0009639366705748589, 0.0007811278057266481)","['BoulwareTBNegotiator', 'SmartAspirationNegotiator']",,61nSkhkGALA,0.035356625041458756,"['BoulwareTBNegotiator@0', 'SmartAspirationNegotiator@1']","['BoulwareTBNegotiator@0', 'SmartAspirationNegotiator@1']","['negmas.gb.negotiators.timebased.BoulwareTBNegotiator', 'src.negotiators.SmartAspirationNegotiator']","[0.018715874291956425, 0.01369778928346932]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S5_F,61nSkhkGALA,negmas.sao.mechanism.SAOMechanism,61nSkhkGALA,38,0.029726208,,0,2,1.0,1.0,1.0,0.9807999989329749,1.0,0.9807999989329749,0.9807999989329749,negmas.preferences.ops.OutcomeOptimality,1.0
