time,relative_time,step,negotiator,offer,responses,state,text,data,ConcederTBNegotiator@0,LinearTBNegotiator@1
0.0,0.0196078431372549,0,ConcederTBNegotiator@0,"(8, 6, 6, 'standard')",{},continuing,,,0.6432748538011696,0.45835830377576303
0.0,0.0196078431372549,0,LinearTBNegotiator@1,"(1, 10, 0, 'standard')",{},continuing,,,0.12313190383365824,0.9824561403508771
0.01232125,0.0392156862745098,1,ConcederTBNegotiator@0,"(6, 1, 6, 'standard')",{},continuing,,,0.5760233918128655,0.3391250354196877
0.01232125,0.0392156862745098,1,LinearTBNegotiator@1,"(2, 10, 0, 'standard')",{},continuing,,,0.14165042235217676,0.9649122807017545
0.01312775,0.058823529411764705,2,ConcederTBNegotiator@0,"(7, 4, 3, 'standard')",{},continuing,,,0.5305393112410657,0.4086033512916599
0.01312775,0.058823529411764705,2,LinearTBNegotiator@1,"(3, 10, 0, 'standard')",{},continuing,,,0.17251461988304095,0.9473684210526316
0.013950083,0.0784313725490196,3,ConcederTBNegotiator@0,"(6, 2, 7, 'premium')",{},continuing,,,0.4957764782326186,0.2611822062769227
0.013950083,0.0784313725490196,3,LinearTBNegotiator@1,"(4, 10, 0, 'standard')",{},continuing,,,0.21572449642625083,0.9298245614035088
0.014806333,0.09803921568627451,4,ConcederTBNegotiator@0,"(5, 7, 5, 'basic')",{},continuing,,,0.46718648473034446,0.4736842105263158
0.014806333,0.09803921568627451,4,LinearTBNegotiator@1,"(1, 10, 0, 'premium')",{},continuing,,,0.052956465237166996,0.9122807017543859
0.015672125,0.11764705882352941,5,ConcederTBNegotiator@0,"(8, 10, 0, 'premium')",{},continuing,,,0.44184535412605586,0.7894736842105263
0.015672125,0.11764705882352941,5,LinearTBNegotiator@1,"(1, 10, 8, 'standard')",{},continuing,,,0.2634827810266407,0.8947368421052633
0.016526375,0.13725490196078433,6,ConcederTBNegotiator@0,"(0, 2, 6, 'basic')",{},continuing,,,0.4197530864197532,0.33360196849311197
0.016526375,0.13725490196078433,6,LinearTBNegotiator@1,"(0, 10, 1, 'basic')",{},continuing,,,0.22807017543859653,0.8755158095648914
0.017387125,0.1568627450980392,7,ConcederTBNegotiator@0,"(6, 6, 6, 'premium')",{},continuing,,,0.4002599090318389,0.4232705844775174
0.017387125,0.1568627450980392,7,LinearTBNegotiator@1,"(1, 10, 1, 'basic')",{},continuing,,,0.23424301494476937,0.8579719499157685
0.018272792,0.17647058823529413,8,ConcederTBNegotiator@0,"(4, 1, 6, 'premium')",{},continuing,,,0.3823911630929175,0.304037316121442
0.018272792,0.17647058823529413,8,LinearTBNegotiator@1,"(2, 10, 1, 'basic')",{},continuing,,,0.2527615334632879,0.8404280902666458
0.019177042,0.19607843137254902,9,ConcederTBNegotiator@0,"(1, 1, 1, 'basic')",{},continuing,,,0.3658219623131904,0.3579719499157686
0.019177042,0.19607843137254902,9,LinearTBNegotiator@1,"(3, 10, 1, 'basic')",{},continuing,,,0.2836257309941521,0.8228842306175229
0.020086458,0.21568627450980393,10,ConcederTBNegotiator@0,"(2, 2, 6, 'standard')",{},continuing,,,0.3508771929824561,0.41547331352235173
0.020086458,0.21568627450980393,10,LinearTBNegotiator@1,"(4, 10, 1, 'basic')",{},continuing,,,0.32683560753736196,0.8053403709684002
0.021017125,0.23529411764705882,11,ConcederTBNegotiator@0,"(3, 4, 6, 'standard')",{},continuing,,,0.3362573099415205,0.4473121699226117
0.021017125,0.23529411764705882,11,LinearTBNegotiator@1,"(3, 9, 6, 'standard')",{},continuing,,,0.27940220922677067,0.7868183427621178
0.021980042,0.2549019607843137,12,ConcederTBNegotiator@0,"(5, 2, 1, 'premium')",{},continuing,,,0.3226120857699805,0.3407529765564444
0.022949708,0.27450980392156865,13,LinearTBNegotiator@1,"(6, 10, 6, 'premium')",{'LinearTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.37426900584795325,0.7689495968231964
