time,relative_time,step,negotiator,offer,responses,state,text,data,ConcederTBNegotiator@0,LinearTBNegotiator@1
0.0,0.0196078431372549,0,ConcederTBNegotiator@0,"(1, 7, 5, 'standard')",{},continuing,,,0.6608187134502925,0.22547108512020797
0.0,0.0196078431372549,0,LinearTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.013172625,0.0392156862745098,1,ConcederTBNegotiator@0,"(8, 9, 8, 'premium')",{},continuing,,,0.5968161143599741,0.5838206627680312
0.013172625,0.0392156862745098,1,LinearTBNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.15559416209238722,0.9649122807017545
0.014045708,0.058823529411764705,2,ConcederTBNegotiator@0,"(7, 8, 6, 'premium')",{},continuing,,,0.5538748729765427,0.46101364522417154
0.014045708,0.058823529411764705,2,LinearTBNegotiator@1,"(9, 1, 6, 'basic')",{},continuing,,,0.16953439214483385,0.9473684210526316
0.014915625,0.0784313725490196,3,ConcederTBNegotiator@0,"(5, 7, 5, 'premium')",{},continuing,,,0.52046783625731,0.3034437946718649
0.014915625,0.0784313725490196,3,LinearTBNegotiator@1,"(9, 4, 9, 'basic')",{},continuing,,,0.14912280701754388,0.9269005847953218
0.015794333,0.09803921568627451,4,ConcederTBNegotiator@0,"(7, 8, 7, 'basic')",{},continuing,,,0.49315101719310195,0.6423001949317739
0.015794333,0.09803921568627451,4,LinearTBNegotiator@1,"(9, 5, 9, 'basic')",{},continuing,,,0.19233268356075373,0.9090318388564003
0.016718958,0.11764705882352941,5,ConcederTBNegotiator@0,"(0, 3, 6, 'standard')",{},continuing,,,0.4690795513391159,0.30181936322287206
0.016718958,0.11764705882352941,5,LinearTBNegotiator@1,"(9, 1, 8, 'standard')",{},continuing,,,0.25438596491228077,0.8888888888888888
0.017596583,0.13725490196078433,6,ConcederTBNegotiator@0,"(0, 5, 4, 'basic')",{},continuing,,,0.4483005773107446,0.3213125406107863
0.018541833,0.1568627450980392,7,LinearTBNegotiator@1,"(9, 9, 9, 'basic')",{'LinearTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.48862897985705,0.8700454840805718
