time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,ConcederTBNegotiator@1
0.0,0.0196078431372549,0,LinearTBNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.0,0.0196078431372549,0,ConcederTBNegotiator@1,"(8, 6, 6, 'standard')",{},continuing,,,0.45835830377576303,0.6432748538011696
0.012501625,0.0392156862745098,1,LinearTBNegotiator@0,"(2, 10, 0, 'standard')",{},continuing,,,0.9649122807017545,0.14165042235217676
0.012501625,0.0392156862745098,1,ConcederTBNegotiator@1,"(6, 1, 6, 'standard')",{},continuing,,,0.3391250354196877,0.5760233918128655
0.013307167,0.058823529411764705,2,LinearTBNegotiator@0,"(3, 10, 0, 'standard')",{},continuing,,,0.9473684210526316,0.17251461988304095
0.013307167,0.058823529411764705,2,ConcederTBNegotiator@1,"(7, 4, 3, 'standard')",{},continuing,,,0.4086033512916599,0.5305393112410657
0.014130834,0.0784313725490196,3,LinearTBNegotiator@0,"(4, 10, 0, 'standard')",{},continuing,,,0.9298245614035088,0.21572449642625083
0.014130834,0.0784313725490196,3,ConcederTBNegotiator@1,"(6, 2, 7, 'premium')",{},continuing,,,0.2611822062769227,0.4957764782326186
0.014953167,0.09803921568627451,4,LinearTBNegotiator@0,"(1, 10, 0, 'premium')",{},continuing,,,0.9122807017543859,0.052956465237166996
0.014953167,0.09803921568627451,4,ConcederTBNegotiator@1,"(5, 7, 5, 'basic')",{},continuing,,,0.4736842105263158,0.46718648473034446
0.015793459,0.11764705882352941,5,LinearTBNegotiator@0,"(1, 10, 8, 'standard')",{},continuing,,,0.8947368421052633,0.2634827810266407
0.015793459,0.11764705882352941,5,ConcederTBNegotiator@1,"(8, 10, 0, 'premium')",{},continuing,,,0.7894736842105263,0.44184535412605586
0.016638959,0.13725490196078433,6,LinearTBNegotiator@0,"(0, 10, 1, 'basic')",{},continuing,,,0.8755158095648914,0.22807017543859653
0.016638959,0.13725490196078433,6,ConcederTBNegotiator@1,"(0, 2, 6, 'basic')",{},continuing,,,0.33360196849311197,0.4197530864197532
0.017519417,0.1568627450980392,7,LinearTBNegotiator@0,"(1, 10, 1, 'basic')",{},continuing,,,0.8579719499157685,0.23424301494476937
0.017519417,0.1568627450980392,7,ConcederTBNegotiator@1,"(6, 6, 6, 'premium')",{},continuing,,,0.4232705844775174,0.4002599090318389
0.018384209,0.17647058823529413,8,LinearTBNegotiator@0,"(2, 10, 1, 'basic')",{},continuing,,,0.8404280902666458,0.2527615334632879
0.018384209,0.17647058823529413,8,ConcederTBNegotiator@1,"(4, 1, 6, 'premium')",{},continuing,,,0.304037316121442,0.3823911630929175
0.0192735,0.19607843137254902,9,LinearTBNegotiator@0,"(3, 10, 1, 'basic')",{},continuing,,,0.8228842306175229,0.2836257309941521
0.0192735,0.19607843137254902,9,ConcederTBNegotiator@1,"(1, 1, 1, 'basic')",{},continuing,,,0.3579719499157686,0.3658219623131904
0.02016725,0.21568627450980393,10,LinearTBNegotiator@0,"(4, 10, 1, 'basic')",{},continuing,,,0.8053403709684002,0.32683560753736196
0.02016725,0.21568627450980393,10,ConcederTBNegotiator@1,"(2, 2, 6, 'standard')",{},continuing,,,0.41547331352235173,0.3508771929824561
0.021073667,0.23529411764705882,11,LinearTBNegotiator@0,"(3, 9, 6, 'standard')",{},continuing,,,0.7868183427621178,0.27940220922677067
0.021073667,0.23529411764705882,11,ConcederTBNegotiator@1,"(3, 4, 6, 'standard')",{},continuing,,,0.4473121699226117,0.3362573099415205
0.021996834,0.2549019607843137,12,LinearTBNegotiator@0,"(6, 10, 6, 'premium')",{'LinearTBNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.7689495968231964,0.37426900584795325
