time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,SmartAspirationNegotiator@1
0.0,0.0196078431372549,0,LinearTBNegotiator@0,"(8, 1, 9, 'basic')",{},continuing,,,0.9841269841269841,0.026455026455026467
0.0,0.0196078431372549,0,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.010572542,0.0392156862745098,1,LinearTBNegotiator@0,"(8, 2, 9, 'basic')",{},continuing,,,0.9682539682539683,0.05291005291005292
0.010572542,0.0392156862745098,1,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.011039583,0.058823529411764705,2,LinearTBNegotiator@0,"(7, 2, 9, 'basic')",{},continuing,,,0.9523809523809524,0.07936507936507937
0.011039583,0.058823529411764705,2,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.011504417,0.0784313725490196,3,LinearTBNegotiator@0,"(7, 2, 8, 'basic')",{},continuing,,,0.923785473171984,0.11111111111111113
0.011504417,0.0784313725490196,3,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.011966917,0.09803921568627451,4,LinearTBNegotiator@0,"(3, 1, 9, 'basic')",{},continuing,,,0.9047619047619048,0.15873015873015878
0.011966917,0.09803921568627451,4,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.012456,0.11764705882352941,5,LinearTBNegotiator@0,"(9, 8, 9, 'basic')",{},continuing,,,0.888888888888889,0.18518518518518517
0.012456,0.11764705882352941,5,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.012928167,0.13725490196078433,6,LinearTBNegotiator@0,"(9, 1, 5, 'basic')",{},continuing,,,0.872677996249965,0.12698412698412698
0.012928167,0.13725490196078433,6,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.013407,0.1568627450980392,7,LinearTBNegotiator@0,"(8, 2, 9, 'standard')",{},continuing,,,0.8492063492063492,0.21164021164021168
0.013407,0.1568627450980392,7,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.013892833,0.17647058823529413,8,LinearTBNegotiator@0,"(7, 8, 8, 'basic')",{},continuing,,,0.8285473779338888,0.2698412698412698
0.013892833,0.17647058823529413,8,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.014376,0.19607843137254902,9,LinearTBNegotiator@0,"(7, 3, 5, 'basic')",{},continuing,,,0.8091859327579014,0.2328042328042328
0.014376,0.19607843137254902,9,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.014885042,0.21568627450980393,10,LinearTBNegotiator@0,"(9, 3, 7, 'standard')",{},continuing,,,0.7901649010504476,0.2751322751322751
0.014885042,0.21568627450980393,10,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.015400458,0.23529411764705882,11,LinearTBNegotiator@0,"(9, 2, 3, 'basic')",{},continuing,,,0.7728021187217969,0.21693121693121697
0.015400458,0.23529411764705882,11,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.015929667,0.2549019607843137,12,LinearTBNegotiator@0,"(9, 1, 5, 'standard')",{},continuing,,,0.7536303772023459,0.2857142857142857
0.015929667,0.2549019607843137,12,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.016443667,0.27450980392156865,13,LinearTBNegotiator@0,"(2, 9, 8, 'basic')",{},continuing,,,0.7333092826957935,0.4285714285714286
0.016443667,0.27450980392156865,13,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.016991875,0.29411764705882354,14,LinearTBNegotiator@0,"(5, 7, 5, 'basic')",{},continuing,,,0.7139478375198062,0.39153439153439157
0.016991875,0.29411764705882354,14,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.017541625,0.3137254901960784,15,LinearTBNegotiator@0,"(9, 7, 6, 'standard')",{},continuing,,,0.6939625761781487,0.4126984126984128
0.017541625,0.3137254901960784,15,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.018151958,0.3333333333333333,16,LinearTBNegotiator@0,"(0, 5, 9, 'standard')",{},continuing,,,0.6746031746031745,0.5026455026455027
0.018151958,0.3333333333333333,16,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.018772083,0.35294117647058826,17,LinearTBNegotiator@0,"(7, 4, 2, 'basic')",{},continuing,,,0.6563371810304365,0.35449735449735453
0.018772083,0.35294117647058826,17,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.019361167,0.37254901960784315,18,LinearTBNegotiator@0,"(7, 1, 3, 'standard')",{},continuing,,,0.637881483801162,0.4021164021164022
0.019361167,0.37254901960784315,18,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.01997925,0.39215686274509803,19,LinearTBNegotiator@0,"(0, 8, 5, 'basic')",{},continuing,,,0.6187097422817109,0.5502645502645502
0.01997925,0.39215686274509803,19,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.020600458,0.4117647058823529,20,LinearTBNegotiator@0,"(6, 10, 3, 'basic')",{},continuing,,,0.5981989441186224,0.5079365079365079
0.020600458,0.4117647058823529,20,SmartAspirationNegotiator@1,"(1, 10, 0, 'premium')",{},continuing,,,0.03968253968253968,0.9735449735449735
0.021239792,0.43137254901960786,21,LinearTBNegotiator@0,"(7, 10, 5, 'standard')",{},continuing,,,0.5790272025991713,0.5767195767195767
0.021239792,0.43137254901960786,21,SmartAspirationNegotiator@1,"(0, 10, 1, 'premium')",{},continuing,,,0.19047619047619047,0.9682539682539681
0.021908875,0.45098039215686275,22,LinearTBNegotiator@0,"(0, 4, 7, 'premium')",{},continuing,,,0.5600061708917176,0.6190476190476191
0.021908875,0.45098039215686275,22,SmartAspirationNegotiator@1,"(0, 10, 1, 'premium')",{},continuing,,,0.19047619047619047,0.9682539682539681
0.022574917,0.47058823529411764,23,LinearTBNegotiator@0,"(9, 9, 3, 'standard')",{},continuing,,,0.5426433885630668,0.5608465608465609
0.022574917,0.47058823529411764,23,SmartAspirationNegotiator@1,"(0, 10, 1, 'premium')",{},continuing,,,0.19047619047619047,0.9682539682539681
0.023288417,0.49019607843137253,24,LinearTBNegotiator@0,"(4, 2, 2, 'standard')",{},continuing,,,0.5214165461098015,0.5396825396825397
0.023288417,0.49019607843137253,24,SmartAspirationNegotiator@1,"(2, 10, 0, 'premium')",{},continuing,,,0.05555555555555555,0.947089947089947
0.024037667,0.5098039215686274,25,LinearTBNegotiator@0,"(4, 2, 3, 'premium')",{},continuing,,,0.5029608488805272,0.5873015873015873
0.024037667,0.5098039215686274,25,SmartAspirationNegotiator@1,"(0, 10, 2, 'premium')",{},continuing,,,0.2595117842050396,0.9365079365079365
0.024760625,0.5294117647058824,26,LinearTBNegotiator@0,"(0, 9, 5, 'standard')",{},continuing,,,0.48378910736107605,0.7354497354497355
0.024760625,0.5294117647058824,26,SmartAspirationNegotiator@1,"(0, 10, 2, 'premium')",{},continuing,,,0.2595117842050396,0.9365079365079365
0.025523583,0.5490196078431373,27,LinearTBNegotiator@0,"(0, 10, 7, 'premium')",{},continuing,,,0.4647680756536222,0.7777777777777777
0.025523583,0.5490196078431373,27,SmartAspirationNegotiator@1,"(1, 10, 2, 'premium')",{},continuing,,,0.27538480007805555,0.91005291005291
0.026281167,0.5686274509803921,28,LinearTBNegotiator@0,"(0, 6, 3, 'standard')",{},continuing,,,0.4474052933249716,0.7195767195767196
0.026281167,0.5686274509803921,28,SmartAspirationNegotiator@1,"(0, 10, 3, 'premium')",{},continuing,,,0.3124846584043367,0.9047619047619049
0.02715275,0.5882352941176471,29,LinearTBNegotiator@0,"(6, 10, 2, 'standard')",{},continuing,,,0.42617845087170625,0.6984126984126984
