time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,ConcederTBNegotiator@1
0.0,0.0196078431372549,0,LinearTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
0.0,0.0196078431372549,0,ConcederTBNegotiator@1,"(5, 8, 1, 'basic')",{},continuing,,,0.28787052191307516,0.6262281100335912
0.012306834,0.0392156862745098,1,LinearTBNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9803600654664483,0.04838709677419354
0.012306834,0.0392156862745098,1,ConcederTBNegotiator@1,"(1, 9, 3, 'basic')",{},continuing,,,0.19112565921076563,0.5562142157135254
0.013120125,0.058823529411764705,2,LinearTBNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9607201309328969,0.06842968850192394
0.013120125,0.058823529411764705,2,ConcederTBNegotiator@1,"(9, 1, 0, 'basic')",{},continuing,,,0.6759410801963993,0.5080645161290323
0.013958709,0.0784313725490196,3,LinearTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9319876341152936,0.006272401433691762
0.013958709,0.0784313725490196,3,ConcederTBNegotiator@1,"(0, 7, 8, 'premium')",{},continuing,,,0.331332969630842,0.471570292213523
0.014799667,0.09803921568627451,4,LinearTBNegotiator@0,"(9, 2, 8, 'basic')",{},continuing,,,0.912347699581742,0.0546594982078853
0.014799667,0.09803921568627451,4,ConcederTBNegotiator@1,"(5, 7, 3, 'basic')",{},continuing,,,0.33951627568648846,0.44110434239273444
0.01567925,0.11764705882352941,5,LinearTBNegotiator@0,"(9, 1, 9, 'premium')",{},continuing,,,0.8854337152209492,0.12903225806451613
0.01567925,0.11764705882352941,5,ConcederTBNegotiator@1,"(0, 3, 9, 'premium')",{},continuing,,,0.4779050736497545,0.415203882050311
0.016559834,0.13725490196078433,6,LinearTBNegotiator@0,"(9, 2, 9, 'premium')",{},continuing,,,0.8657937806873975,0.17741935483870966
0.016559834,0.13725490196078433,6,ConcederTBNegotiator@1,"(3, 7, 9, 'premium')",{},continuing,,,0.4402618657937807,0.3927172456185409
0.017467042,0.1568627450980392,7,LinearTBNegotiator@0,"(9, 3, 9, 'premium')",{},continuing,,,0.8461538461538461,0.19746194656644006
0.017467042,0.1568627450980392,7,ConcederTBNegotiator@1,"(0, 1, 7, 'premium')",{},continuing,,,0.38916166575741046,0.37186379928315405
0.018374375,0.17647058823529413,8,LinearTBNegotiator@0,"(9, 4, 9, 'premium')",{},continuing,,,0.8265139116202945,0.21284116810817147
0.018374375,0.17647058823529413,8,ConcederTBNegotiator@1,"(0, 1, 8, 'premium')",{},continuing,,,0.4491725768321513,0.3530465949820788
0.019343834,0.19607843137254902,9,LinearTBNegotiator@0,"(9, 4, 8, 'standard')",{},continuing,,,0.8076013820694672,0.17072647276766967
0.019343834,0.19607843137254902,9,ConcederTBNegotiator@1,"(4, 8, 8, 'standard')",{},continuing,,,0.43353336970358247,0.33590552938843
0.020309667,0.21568627450980393,10,LinearTBNegotiator@0,"(9, 5, 8, 'standard')",{},continuing,,,0.7879614475359156,0.18369175627240142
0.020309667,0.21568627450980393,10,ConcederTBNegotiator@1,"(5, 3, 7, 'premium')",{},continuing,,,0.4635388252409529,0.31932574584959417
0.02126475,0.23529411764705882,11,LinearTBNegotiator@0,"(8, 3, 9, 'premium')",{},continuing,,,0.7688670667394072,0.22165549495353684
0.02126475,0.23529411764705882,11,ConcederTBNegotiator@1,"(4, 5, 8, 'standard')",{},continuing,,,0.49245317330423716,0.3046594982078853
0.022229292,0.2549019607843137,12,LinearTBNegotiator@0,"(8, 4, 9, 'premium')",{},continuing,,,0.7492271322058556,0.23703471649526825
0.022229292,0.2549019607843137,12,ConcederTBNegotiator@1,"(1, 5, 9, 'basic')",{},continuing,,,0.557737770503728,0.29032258064516125
0.023205292,0.27450980392156865,13,LinearTBNegotiator@0,"(6, 1, 9, 'standard')",{},continuing,,,0.7299509001636661,0.15322580645161288
0.023205292,0.27450980392156865,13,ConcederTBNegotiator@1,"(1, 4, 9, 'basic')",{},continuing,,,0.5773777050372795,0.27735729714042956
0.024190167,0.29411764705882354,14,LinearTBNegotiator@0,"(8, 5, 8, 'standard')",{},continuing,,,0.7106746681214766,0.2078853046594982
0.024190167,0.29411764705882354,14,ConcederTBNegotiator@1,"(4, 7, 7, 'basic')",{},continuing,,,0.458628841607565,0.264581044901695
0.025177667,0.3137254901960784,15,LinearTBNegotiator@0,"(9, 1, 2, 'basic')",{'LinearTBNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.6919439898163302,0.30734767025089604
