time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,ConcederTBNegotiator@1
0.0,0.0196078431372549,0,LinearTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.0,0.0196078431372549,0,ConcederTBNegotiator@1,"(2, 8, 5, 'standard')",{},continuing,,,0.3567251461988304,0.6432748538011694
0.01069175,0.0392156862745098,1,LinearTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.01069175,0.0392156862745098,1,ConcederTBNegotiator@1,"(0, 2, 7, 'premium')",{},continuing,,,0.4385964912280701,0.5614035087719298
0.011557916,0.058823529411764705,2,LinearTBNegotiator@0,"(9, 1, 7, 'basic')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.011557916,0.058823529411764705,2,ConcederTBNegotiator@1,"(9, 8, 2, 'standard')",{},continuing,,,0.47368421052631576,0.5263157894736841
0.012434708,0.0784313725490196,3,LinearTBNegotiator@0,"(9, 1, 7, 'basic')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.012434708,0.0784313725490196,3,ConcederTBNegotiator@1,"(2, 1, 7, 'premium')",{},continuing,,,0.5263157894736842,0.4736842105263157
0.013340208,0.09803921568627451,4,LinearTBNegotiator@0,"(7, 1, 8, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.013340208,0.09803921568627451,4,ConcederTBNegotiator@1,"(4, 1, 6, 'premium')",{},continuing,,,0.5555555555555556,0.4444444444444444
0.014254125,0.11764705882352941,5,LinearTBNegotiator@0,"(7, 2, 8, 'basic')",{},continuing,,,0.8830409356725145,0.11695906432748539
0.014254125,0.11764705882352941,5,ConcederTBNegotiator@1,"(7, 8, 3, 'basic')",{},continuing,,,0.5614035087719298,0.4385964912280701
0.015199541,0.13725490196078433,6,LinearTBNegotiator@0,"(7, 2, 8, 'basic')",{},continuing,,,0.8830409356725145,0.11695906432748539
0.015199541,0.13725490196078433,6,ConcederTBNegotiator@1,"(2, 3, 8, 'standard')",{},continuing,,,0.5906432748538011,0.40935672514619875
0.016203791,0.1568627450980392,7,LinearTBNegotiator@0,"(6, 3, 9, 'basic')",{},continuing,,,0.8538011695906431,0.14619883040935672
0.016203791,0.1568627450980392,7,ConcederTBNegotiator@1,"(2, 3, 5, 'basic')",{},continuing,,,0.6198830409356724,0.3801169590643274
0.017204166,0.17647058823529413,8,LinearTBNegotiator@0,"(9, 2, 8, 'standard')",{},continuing,,,0.8245614035087718,0.17543859649122806
0.017204166,0.17647058823529413,8,ConcederTBNegotiator@1,"(5, 2, 9, 'premium')",{},continuing,,,0.6432748538011696,0.3567251461988304
0.018197291,0.19607843137254902,9,LinearTBNegotiator@0,"(9, 2, 8, 'standard')",{},continuing,,,0.8245614035087718,0.17543859649122806
0.018197291,0.19607843137254902,9,ConcederTBNegotiator@1,"(2, 3, 6, 'basic')",{},continuing,,,0.6491228070175438,0.35087719298245607
0.019185375,0.21568627450980393,10,LinearTBNegotiator@0,"(9, 1, 9, 'premium')",{},continuing,,,0.7894736842105263,0.21052631578947367
0.019185375,0.21568627450980393,10,ConcederTBNegotiator@1,"(5, 1, 2, 'basic')",{},continuing,,,0.6783625730994152,0.3216374269005847
0.020204666,0.23529411764705882,11,LinearTBNegotiator@0,"(7, 3, 5, 'basic')",{},continuing,,,0.7660818713450291,0.23391812865497075
0.020204666,0.23529411764705882,11,ConcederTBNegotiator@1,"(5, 1, 2, 'basic')",{},continuing,,,0.6783625730994152,0.3216374269005847
0.021283,0.2549019607843137,12,LinearTBNegotiator@0,"(9, 2, 9, 'premium')",{},continuing,,,0.7602339181286549,0.23976608187134502
0.021283,0.2549019607843137,12,ConcederTBNegotiator@1,"(9, 4, 9, 'premium')",{},continuing,,,0.7017543859649122,0.2982456140350877
0.02234,0.27450980392156865,13,LinearTBNegotiator@0,"(9, 2, 8, 'premium')",{},continuing,,,0.7309941520467835,0.26900584795321636
0.023419208,0.29411764705882354,14,ConcederTBNegotiator@1,"(7, 8, 8, 'basic')",{'ConcederTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.7076023391812865,0.2923976608187134
