time,relative_time,step,negotiator,offer,responses,state,text,data,ConcederTBNegotiator@0,LinearTBNegotiator@1
0.0,0.0196078431372549,0,ConcederTBNegotiator@0,"(2, 8, 5, 'standard')",{},continuing,,,0.6432748538011694,0.3567251461988304
0.0,0.0196078431372549,0,LinearTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011196458,0.0392156862745098,1,ConcederTBNegotiator@0,"(0, 2, 7, 'premium')",{},continuing,,,0.5614035087719298,0.4385964912280701
0.011196458,0.0392156862745098,1,LinearTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.0121105,0.058823529411764705,2,ConcederTBNegotiator@0,"(9, 8, 2, 'standard')",{},continuing,,,0.5263157894736841,0.47368421052631576
0.0121105,0.058823529411764705,2,LinearTBNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.013025708,0.0784313725490196,3,ConcederTBNegotiator@0,"(2, 1, 7, 'premium')",{},continuing,,,0.4736842105263157,0.5263157894736842
0.013025708,0.0784313725490196,3,LinearTBNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.014002666,0.09803921568627451,4,ConcederTBNegotiator@0,"(4, 1, 6, 'premium')",{},continuing,,,0.4444444444444444,0.5555555555555556
0.014002666,0.09803921568627451,4,LinearTBNegotiator@1,"(7, 1, 8, 'basic')",{},continuing,,,0.08771929824561404,0.9122807017543859
0.01503625,0.11764705882352941,5,ConcederTBNegotiator@0,"(7, 8, 3, 'basic')",{},continuing,,,0.4385964912280701,0.5614035087719298
0.01503625,0.11764705882352941,5,LinearTBNegotiator@1,"(7, 2, 8, 'basic')",{},continuing,,,0.11695906432748539,0.8830409356725145
0.016035125,0.13725490196078433,6,ConcederTBNegotiator@0,"(2, 3, 8, 'standard')",{},continuing,,,0.40935672514619875,0.5906432748538011
0.016035125,0.13725490196078433,6,LinearTBNegotiator@1,"(7, 2, 8, 'basic')",{},continuing,,,0.11695906432748539,0.8830409356725145
0.017014708,0.1568627450980392,7,ConcederTBNegotiator@0,"(2, 3, 5, 'basic')",{},continuing,,,0.3801169590643274,0.6198830409356724
0.017014708,0.1568627450980392,7,LinearTBNegotiator@1,"(6, 3, 9, 'basic')",{},continuing,,,0.14619883040935672,0.8538011695906431
0.0179945,0.17647058823529413,8,ConcederTBNegotiator@0,"(5, 2, 9, 'premium')",{},continuing,,,0.3567251461988304,0.6432748538011696
0.0179945,0.17647058823529413,8,LinearTBNegotiator@1,"(9, 2, 8, 'standard')",{},continuing,,,0.17543859649122806,0.8245614035087718
0.019019708,0.19607843137254902,9,ConcederTBNegotiator@0,"(2, 3, 6, 'basic')",{},continuing,,,0.35087719298245607,0.6491228070175438
0.019019708,0.19607843137254902,9,LinearTBNegotiator@1,"(9, 2, 8, 'standard')",{},continuing,,,0.17543859649122806,0.8245614035087718
0.020115291,0.21568627450980393,10,ConcederTBNegotiator@0,"(5, 1, 2, 'basic')",{},continuing,,,0.3216374269005847,0.6783625730994152
0.020115291,0.21568627450980393,10,LinearTBNegotiator@1,"(9, 1, 9, 'premium')",{},continuing,,,0.21052631578947367,0.7894736842105263
0.021179875,0.23529411764705882,11,ConcederTBNegotiator@0,"(5, 1, 2, 'basic')",{},continuing,,,0.3216374269005847,0.6783625730994152
0.021179875,0.23529411764705882,11,LinearTBNegotiator@1,"(7, 3, 5, 'basic')",{},continuing,,,0.23391812865497075,0.7660818713450291
0.022273208,0.2549019607843137,12,ConcederTBNegotiator@0,"(9, 4, 9, 'premium')",{},continuing,,,0.2982456140350877,0.7017543859649122
0.022273208,0.2549019607843137,12,LinearTBNegotiator@1,"(9, 2, 9, 'premium')",{},continuing,,,0.23976608187134502,0.7602339181286549
0.023391666,0.27450980392156865,13,ConcederTBNegotiator@0,"(7, 8, 8, 'basic')",{},continuing,,,0.2923976608187134,0.7076023391812865
0.024462208,0.29411764705882354,14,LinearTBNegotiator@1,"(9, 2, 8, 'premium')",{'LinearTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.26900584795321636,0.7309941520467835
