time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,SmartAspirationNegotiator@1
0.0,0.0196078431372549,0,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.0,0.0196078431372549,0,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.009608625,0.0392156862745098,1,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.009608625,0.0392156862745098,1,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.009789459,0.058823529411764705,2,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.009789459,0.058823529411764705,2,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.009959959,0.0784313725490196,3,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.009959959,0.0784313725490196,3,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010127042,0.09803921568627451,4,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010127042,0.09803921568627451,4,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010296459,0.11764705882352941,5,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010296459,0.11764705882352941,5,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010465042,0.13725490196078433,6,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010465042,0.13725490196078433,6,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010633334,0.1568627450980392,7,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010633334,0.1568627450980392,7,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010799542,0.17647058823529413,8,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010799542,0.17647058823529413,8,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.0109665,0.19607843137254902,9,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.0109665,0.19607843137254902,9,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011134084,0.21568627450980393,10,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.011134084,0.21568627450980393,10,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011301334,0.23529411764705882,11,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.011301334,0.23529411764705882,11,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.01149175,0.2549019607843137,12,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.01149175,0.2549019607843137,12,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011679542,0.27450980392156865,13,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.011679542,0.27450980392156865,13,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011848167,0.29411764705882354,14,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.011848167,0.29411764705882354,14,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012017542,0.3137254901960784,15,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.012017542,0.3137254901960784,15,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012184792,0.3333333333333333,16,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.012184792,0.3333333333333333,16,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012352584,0.35294117647058826,17,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.012352584,0.35294117647058826,17,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012520667,0.37254901960784315,18,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.012520667,0.37254901960784315,18,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012688084,0.39215686274509803,19,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.012688084,0.39215686274509803,19,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012857292,0.4117647058823529,20,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.012857292,0.4117647058823529,20,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.01302725,0.43137254901960786,21,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.01302725,0.43137254901960786,21,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.013201667,0.45098039215686275,22,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.013201667,0.45098039215686275,22,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.013376042,0.47058823529411764,23,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.013376042,0.47058823529411764,23,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.013549,0.49019607843137253,24,GeniusBOABaselineNegotiator@0,"(0, 8, 0, 'premium')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.013549,0.49019607843137253,24,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.0137225,0.5098039215686274,25,GeniusBOABaselineNegotiator@0,"(0, 8, 0, 'premium')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.0137225,0.5098039215686274,25,SmartAspirationNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.013899417,0.5294117647058824,26,GeniusBOABaselineNegotiator@0,"(0, 8, 0, 'premium')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.013899417,0.5294117647058824,26,SmartAspirationNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.014075667,0.5490196078431373,27,GeniusBOABaselineNegotiator@0,"(0, 9, 2, 'premium')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.014075667,0.5490196078431373,27,SmartAspirationNegotiator@1,"(6, 1, 9, 'basic')",{},continuing,,,0.08771929824561404,0.9122807017543859
0.014258459,0.5686274509803921,28,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,0.9064327485380117,0.0935672514619883
0.014258459,0.5686274509803921,28,SmartAspirationNegotiator@1,"(6, 1, 9, 'basic')",{},continuing,,,0.08771929824561404,0.9122807017543859
0.014440584,0.5882352941176471,29,GeniusBOABaselineNegotiator@0,"(1, 9, 2, 'premium')",{},continuing,,,0.8830409356725145,0.11695906432748539
0.014440584,0.5882352941176471,29,SmartAspirationNegotiator@1,"(5, 1, 9, 'basic')",{},continuing,,,0.11695906432748537,0.8830409356725146
0.014632042,0.6078431372549019,30,GeniusBOABaselineNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.8771929824561403,0.12280701754385964
0.014632042,0.6078431372549019,30,SmartAspirationNegotiator@1,"(5, 1, 9, 'basic')",{},continuing,,,0.11695906432748537,0.8830409356725146
0.014823042,0.6274509803921569,31,GeniusBOABaselineNegotiator@0,"(0, 9, 1, 'standard')",{},continuing,,,0.8479532163742689,0.15204678362573099
0.014823042,0.6274509803921569,31,SmartAspirationNegotiator@1,"(4, 1, 9, 'basic')",{},continuing,,,0.14619883040935672,0.8538011695906432
0.015025917,0.6470588235294118,32,GeniusBOABaselineNegotiator@0,"(0, 4, 0, 'premium')",{},continuing,,,0.8245614035087718,0.1754385964912281
0.015025917,0.6470588235294118,32,SmartAspirationNegotiator@1,"(4, 1, 9, 'basic')",{},continuing,,,0.14619883040935672,0.8538011695906432
0.015228209,0.6666666666666666,33,GeniusBOABaselineNegotiator@0,"(0, 7, 0, 'standard')",{},continuing,,,0.8187134502923976,0.18128654970760233
0.015228209,0.6666666666666666,33,SmartAspirationNegotiator@1,"(3, 1, 9, 'basic')",{},continuing,,,0.1754385964912281,0.8245614035087718
0.015449209,0.6862745098039216,34,GeniusBOABaselineNegotiator@0,"(1, 9, 2, 'standard')",{},continuing,,,0.7894736842105262,0.21052631578947367
0.015449209,0.6862745098039216,34,SmartAspirationNegotiator@1,"(2, 1, 9, 'basic')",{},continuing,,,0.20467836257309938,0.7953216374269005
0.015695792,0.7058823529411765,35,GeniusBOABaselineNegotiator@0,"(2, 7, 0, 'standard')",{},continuing,,,0.7602339181286548,0.23976608187134502
0.015695792,0.7058823529411765,35,SmartAspirationNegotiator@1,"(3, 1, 7, 'basic')",{},continuing,,,0.23391812865497078,0.7660818713450291
0.015973792,0.7254901960784313,36,GeniusBOABaselineNegotiator@0,"(1, 7, 2, 'standard')",{},continuing,,,0.7309941520467835,0.26900584795321636
0.015973792,0.7254901960784313,36,SmartAspirationNegotiator@1,"(6, 1, 3, 'basic')",{},continuing,,,0.26315789473684215,0.7368421052631579
0.016294667,0.7450980392156863,37,GeniusBOABaselineNegotiator@0,"(2, 7, 2, 'standard')",{},continuing,,,0.7017543859649121,0.2982456140350877
0.016294667,0.7450980392156863,37,SmartAspirationNegotiator@1,"(6, 1, 2, 'basic')",{},continuing,,,0.29239766081871343,0.7076023391812865
0.016684625,0.7647058823529411,38,GeniusBOABaselineNegotiator@0,"(4, 8, 2, 'standard')",{},continuing,,,0.6725146198830408,0.32748538011695905
0.016684625,0.7647058823529411,38,SmartAspirationNegotiator@1,"(7, 1, 0, 'basic')",{},continuing,,,0.3216374269005848,0.6783625730994152
0.017139209,0.7843137254901961,39,GeniusBOABaselineNegotiator@0,"(2, 3, 0, 'standard')",{},continuing,,,0.6432748538011694,0.35672514619883033
0.017139209,0.7843137254901961,39,SmartAspirationNegotiator@1,"(6, 1, 0, 'basic')",{},continuing,,,0.3508771929824561,0.6491228070175439
0.017659625,0.803921568627451,40,GeniusBOABaselineNegotiator@0,"(2, 7, 2, 'basic')",{},continuing,,,0.5847953216374268,0.4152046783625731
0.017659625,0.803921568627451,40,SmartAspirationNegotiator@1,"(4, 1, 0, 'basic')",{},continuing,,,0.4093567251461988,0.5906432748538011
0.018369209,0.8235294117647058,41,GeniusBOABaselineNegotiator@0,"(2, 7, 3, 'basic')",{},continuing,,,0.5555555555555555,0.4444444444444444
0.018369209,0.8235294117647058,41,SmartAspirationNegotiator@1,"(1, 1, 1, 'basic')",{},continuing,,,0.4678362573099415,0.5321637426900585
0.019317167,0.8431372549019608,42,GeniusBOABaselineNegotiator@0,"(2, 5, 7, 'standard')",{'GeniusBOABaselineNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.4970760233918128,0.5029239766081871
