time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,BoulwareTBNegotiator@1
0.0,0.0196078431372549,0,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.0,0.0196078431372549,0,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.009721625,0.0392156862745098,1,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.009721625,0.0392156862745098,1,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010181042,0.058823529411764705,2,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010181042,0.058823529411764705,2,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010647333,0.0784313725490196,3,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010647333,0.0784313725490196,3,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011095125,0.09803921568627451,4,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.011095125,0.09803921568627451,4,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011555167,0.11764705882352941,5,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.011555167,0.11764705882352941,5,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012010417,0.13725490196078433,6,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.012010417,0.13725490196078433,6,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012472625,0.1568627450980392,7,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.012472625,0.1568627450980392,7,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012935875,0.17647058823529413,8,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.012935875,0.17647058823529413,8,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.013383667,0.19607843137254902,9,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.013383667,0.19607843137254902,9,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.01389,0.21568627450980393,10,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.01389,0.21568627450980393,10,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.014347292,0.23529411764705882,11,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.014347292,0.23529411764705882,11,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.014805917,0.2549019607843137,12,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.014805917,0.2549019607843137,12,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.015259458,0.27450980392156865,13,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.015259458,0.27450980392156865,13,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.01571625,0.29411764705882354,14,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.01571625,0.29411764705882354,14,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.016172083,0.3137254901960784,15,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.016172083,0.3137254901960784,15,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
