time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,ConcederTBNegotiator@1
0.0,0.0196078431372549,0,LinearTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9824561403508771,0.13742690058479534
0.0,0.0196078431372549,0,ConcederTBNegotiator@1,"(1, 7, 5, 'standard')",{},continuing,,,0.22547108512020797,0.6608187134502925
0.012780959,0.0392156862745098,1,LinearTBNegotiator@0,"(9, 1, 7, 'basic')",{},continuing,,,0.9649122807017545,0.15559416209238722
0.012780959,0.0392156862745098,1,ConcederTBNegotiator@1,"(8, 9, 8, 'premium')",{},continuing,,,0.5838206627680312,0.5968161143599741
0.013638542,0.058823529411764705,2,LinearTBNegotiator@0,"(9, 1, 6, 'basic')",{},continuing,,,0.9473684210526316,0.16953439214483385
0.013638542,0.058823529411764705,2,ConcederTBNegotiator@1,"(7, 8, 6, 'premium')",{},continuing,,,0.46101364522417154,0.5538748729765427
0.014495,0.0784313725490196,3,LinearTBNegotiator@0,"(9, 4, 9, 'basic')",{},continuing,,,0.9269005847953218,0.14912280701754388
0.014495,0.0784313725490196,3,ConcederTBNegotiator@1,"(5, 7, 5, 'premium')",{},continuing,,,0.3034437946718649,0.52046783625731
0.015388459,0.09803921568627451,4,LinearTBNegotiator@0,"(9, 5, 9, 'basic')",{},continuing,,,0.9090318388564003,0.19233268356075373
0.015388459,0.09803921568627451,4,ConcederTBNegotiator@1,"(7, 8, 7, 'basic')",{},continuing,,,0.6423001949317739,0.49315101719310195
0.016282167,0.11764705882352941,5,LinearTBNegotiator@0,"(9, 1, 8, 'standard')",{},continuing,,,0.8888888888888888,0.25438596491228077
0.016282167,0.11764705882352941,5,ConcederTBNegotiator@1,"(0, 3, 6, 'standard')",{},continuing,,,0.30181936322287206,0.4690795513391159
0.017180334,0.13725490196078433,6,LinearTBNegotiator@0,"(9, 9, 9, 'basic')",{'LinearTBNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.8700454840805718,0.48862897985705
