time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,BoulwareTBNegotiator@1
0.0,0.0196078431372549,0,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.0,0.0196078431372549,0,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.012117083,0.0392156862745098,1,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.012117083,0.0392156862745098,1,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.012595625,0.058823529411764705,2,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.012595625,0.058823529411764705,2,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.013061,0.0784313725490196,3,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.013061,0.0784313725490196,3,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.013543375,0.09803921568627451,4,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.013543375,0.09803921568627451,4,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.014020791,0.11764705882352941,5,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.014020791,0.11764705882352941,5,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.014481041,0.13725490196078433,6,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.014481041,0.13725490196078433,6,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.014944583,0.1568627450980392,7,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.014944583,0.1568627450980392,7,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.015395375,0.17647058823529413,8,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.015395375,0.17647058823529413,8,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.015842208,0.19607843137254902,9,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.015842208,0.19607843137254902,9,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.016297666,0.21568627450980393,10,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.016297666,0.21568627450980393,10,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.016747416,0.23529411764705882,11,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.016747416,0.23529411764705882,11,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.017211,0.2549019607843137,12,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.017211,0.2549019607843137,12,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.017669333,0.27450980392156865,13,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.017669333,0.27450980392156865,13,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.018123708,0.29411764705882354,14,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.018123708,0.29411764705882354,14,BoulwareTBNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.018580583,0.3137254901960784,15,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.018580583,0.3137254901960784,15,BoulwareTBNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.019033958,0.3333333333333333,16,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.019033958,0.3333333333333333,16,BoulwareTBNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.019495333,0.35294117647058826,17,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.019495333,0.35294117647058826,17,BoulwareTBNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.019950583,0.37254901960784315,18,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9824561403508771,0.13742690058479534
0.019950583,0.37254901960784315,18,BoulwareTBNegotiator@1,"(1, 10, 0, 'standard')",{},continuing,,,0.12313190383365824,0.9824561403508771
0.020436458,0.39215686274509803,19,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9824561403508771,0.13742690058479534
0.020436458,0.39215686274509803,19,BoulwareTBNegotiator@1,"(1, 10, 0, 'standard')",{},continuing,,,0.12313190383365824,0.9824561403508771
0.020895083,0.4117647058823529,20,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9824561403508771,0.13742690058479534
0.020895083,0.4117647058823529,20,BoulwareTBNegotiator@1,"(1, 10, 1, 'standard')",{},continuing,,,0.14067576348278105,0.9749310142432539
0.021357041,0.43137254901960786,21,SmartAspirationNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9723846653671215,0.09974009096816115
0.021357041,0.43137254901960786,21,BoulwareTBNegotiator@1,"(1, 10, 1, 'standard')",{},continuing,,,0.14067576348278105,0.9749310142432539
0.021831125,0.45098039215686275,22,SmartAspirationNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9723846653671215,0.09974009096816115
0.021831125,0.45098039215686275,22,BoulwareTBNegotiator@1,"(2, 10, 0, 'standard')",{},continuing,,,0.14165042235217676,0.9649122807017545
0.022343166,0.47058823529411764,23,SmartAspirationNegotiator@0,"(9, 2, 8, 'basic')",{},continuing,,,0.9548408057179987,0.14359974009096818
0.022343166,0.47058823529411764,23,BoulwareTBNegotiator@1,"(0, 10, 5, 'standard')",{},continuing,,,0.20467836257309946,0.9561403508771931
0.022878041,0.49019607843137253,24,SmartAspirationNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9480181936322287,0.11825860948667967
0.022878041,0.49019607843137253,24,BoulwareTBNegotiator@1,"(1, 10, 4, 'standard')",{},continuing,,,0.19330734243014946,0.9489503498903418
0.023362708,0.5098039215686274,25,SmartAspirationNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9480181936322287,0.11825860948667967
0.023362708,0.5098039215686274,25,BoulwareTBNegotiator@1,"(3, 10, 1, 'standard')",{},continuing,,,0.19005847953216376,0.9398432949450084
0.023829666,0.5294117647058824,26,SmartAspirationNegotiator@0,"(9, 4, 9, 'basic')",{},continuing,,,0.9269005847953218,0.14912280701754388
0.023829666,0.5294117647058824,26,BoulwareTBNegotiator@1,"(4, 10, 0, 'standard')",{},continuing,,,0.21572449642625083,0.9298245614035088
0.02431,0.5490196078431373,27,SmartAspirationNegotiator@0,"(9, 4, 9, 'basic')",{},continuing,,,0.9269005847953218,0.14912280701754388
0.02431,0.5490196078431373,27,BoulwareTBNegotiator@1,"(2, 10, 5, 'standard')",{},continuing,,,0.22936972059779082,0.9210526315789476
0.024794416,0.5686274509803921,28,SmartAspirationNegotiator@0,"(9, 5, 9, 'basic')",{},continuing,,,0.9090318388564003,0.19233268356075373
0.024794416,0.5686274509803921,28,BoulwareTBNegotiator@1,"(0, 10, 3, 'premium')",{},continuing,,,0.09941520467836258,0.9056793746834728
0.025281333,0.5882352941176471,29,SmartAspirationNegotiator@0,"(9, 6, 9, 'basic')",{},continuing,,,0.8944119558154646,0.2478882391163093
0.025281333,0.5882352941176471,29,BoulwareTBNegotiator@1,"(3, 10, 6, 'standard')",{},continuing,,,0.2777777777777778,0.8917566143670561
0.025759208,0.6078431372549019,30,SmartAspirationNegotiator@0,"(9, 9, 9, 'basic')",{},continuing,,,0.8700454840805718,0.48862897985705
0.025759208,0.6078431372549019,30,BoulwareTBNegotiator@1,"(3, 10, 0, 'premium')",{},continuing,,,0.10233918128654972,0.8771929824561404
0.026259583,0.6274509803921569,31,SmartAspirationNegotiator@0,"(9, 10, 9, 'basic')",{},continuing,,,0.868421052631579,0.5935672514619883
0.026259583,0.6274509803921569,31,BoulwareTBNegotiator@1,"(4, 10, 0, 'premium')",{},continuing,,,0.14554905782975958,0.8596491228070176
0.026758208,0.6470588235294118,32,SmartAspirationNegotiator@0,"(9, 10, 7, 'basic')",{},continuing,,,0.8333333333333335,0.6555941620923872
0.026758208,0.6470588235294118,32,BoulwareTBNegotiator@1,"(1, 10, 3, 'basic')",{},continuing,,,0.269330734243015,0.8413518893033558
0.027273833,0.6666666666666666,33,SmartAspirationNegotiator@0,"(9, 10, 6, 'basic')",{},continuing,,,0.8157894736842106,0.6695343921448338
0.027273833,0.6666666666666666,33,BoulwareTBNegotiator@1,"(3, 10, 6, 'premium')",{},continuing,,,0.20760233918128657,0.8215811757705648
0.027817708,0.6862745098039216,34,SmartAspirationNegotiator@0,"(9, 10, 5, 'basic')",{},continuing,,,0.7982456140350878,0.6812865497076024
0.027817708,0.6862745098039216,34,BoulwareTBNegotiator@1,"(7, 10, 1, 'premium')",{},continuing,,,0.3667966211825861,0.7994924177520258
0.028367458,0.7058823529411765,35,SmartAspirationNegotiator@0,"(9, 10, 9, 'standard')",{},continuing,,,0.7748538011695907,0.7105263157894737
0.028367458,0.7058823529411765,35,BoulwareTBNegotiator@1,"(1, 8, 1, 'standard')",{},continuing,,,0.14717348927875246,0.777400150045723
0.028947208,0.7254901960784313,36,SmartAspirationNegotiator@0,"(9, 10, 7, 'standard')",{'SmartAspirationNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.7397660818713451,0.7725532264198727
