time,relative_time,step,negotiator,offer,responses,state,text,data,BoulwareTBNegotiator@0,BoulwareTBNegotiator@1
0.0,0.0196078431372549,0,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.0,0.0196078431372549,0,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.012275292,0.0392156862745098,1,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.012275292,0.0392156862745098,1,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.013030125,0.058823529411764705,2,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013030125,0.058823529411764705,2,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.013782709,0.0784313725490196,3,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013782709,0.0784313725490196,3,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.01454075,0.09803921568627451,4,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.01454075,0.09803921568627451,4,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.0152795,0.11764705882352941,5,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.0152795,0.11764705882352941,5,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.016015042,0.13725490196078433,6,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.016015042,0.13725490196078433,6,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.016763792,0.1568627450980392,7,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.016763792,0.1568627450980392,7,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.017540917,0.17647058823529413,8,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.017540917,0.17647058823529413,8,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.018280084,0.19607843137254902,9,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.018280084,0.19607843137254902,9,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.019017542,0.21568627450980393,10,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.019017542,0.21568627450980393,10,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.019755375,0.23529411764705882,11,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.019755375,0.23529411764705882,11,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.0204825,0.2549019607843137,12,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.0204825,0.2549019607843137,12,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.021223459,0.27450980392156865,13,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.021223459,0.27450980392156865,13,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.021966334,0.29411764705882354,14,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.021966334,0.29411764705882354,14,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.022715125,0.3137254901960784,15,BoulwareTBNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.022715125,0.3137254901960784,15,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.02343225,0.3333333333333333,16,BoulwareTBNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.02343225,0.3333333333333333,16,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.024175917,0.35294117647058826,17,BoulwareTBNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.024175917,0.35294117647058826,17,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.02490925,0.37254901960784315,18,BoulwareTBNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.02490925,0.37254901960784315,18,BoulwareTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.025683,0.39215686274509803,19,BoulwareTBNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.025683,0.39215686274509803,19,BoulwareTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.02646025,0.4117647058823529,20,BoulwareTBNegotiator@0,"(1, 10, 1, 'standard')",{},continuing,,,0.9749310142432539,0.14067576348278105
0.02646025,0.4117647058823529,20,BoulwareTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.027191959,0.43137254901960786,21,BoulwareTBNegotiator@0,"(1, 10, 1, 'standard')",{},continuing,,,0.9749310142432539,0.14067576348278105
0.027191959,0.43137254901960786,21,BoulwareTBNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.09974009096816115,0.9723846653671215
0.027941209,0.45098039215686275,22,BoulwareTBNegotiator@0,"(2, 10, 0, 'standard')",{},continuing,,,0.9649122807017545,0.14165042235217676
0.027941209,0.45098039215686275,22,BoulwareTBNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.15559416209238722,0.9649122807017545
0.028690042,0.47058823529411764,23,BoulwareTBNegotiator@0,"(0, 10, 5, 'standard')",{},continuing,,,0.9561403508771931,0.20467836257309946
0.028690042,0.47058823529411764,23,BoulwareTBNegotiator@1,"(9, 2, 8, 'basic')",{},continuing,,,0.14359974009096818,0.9548408057179987
0.02942425,0.49019607843137253,24,BoulwareTBNegotiator@0,"(1, 10, 4, 'standard')",{},continuing,,,0.9489503498903418,0.19330734243014946
0.02942425,0.49019607843137253,24,BoulwareTBNegotiator@1,"(9, 1, 6, 'basic')",{},continuing,,,0.16953439214483385,0.9473684210526316
0.030192084,0.5098039215686274,25,BoulwareTBNegotiator@0,"(3, 10, 1, 'standard')",{},continuing,,,0.9398432949450084,0.19005847953216376
0.030192084,0.5098039215686274,25,BoulwareTBNegotiator@1,"(9, 2, 7, 'basic')",{},continuing,,,0.16176700159856006,0.937296946068876
0.030929459,0.5294117647058824,26,BoulwareTBNegotiator@0,"(4, 10, 0, 'standard')",{},continuing,,,0.9298245614035088,0.21572449642625083
0.030929459,0.5294117647058824,26,BoulwareTBNegotiator@1,"(9, 4, 9, 'basic')",{},continuing,,,0.14912280701754388,0.9269005847953218
