time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,BoulwareTBNegotiator@1
0.0,0.0196078431372549,0,LinearTBNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.0,0.0196078431372549,0,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.01239025,0.0392156862745098,1,LinearTBNegotiator@0,"(2, 10, 0, 'standard')",{},continuing,,,0.9649122807017545,0.14165042235217676
0.01239025,0.0392156862745098,1,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.013125209,0.058823529411764705,2,LinearTBNegotiator@0,"(3, 10, 0, 'standard')",{},continuing,,,0.9473684210526316,0.17251461988304095
0.013125209,0.058823529411764705,2,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.013891917,0.0784313725490196,3,LinearTBNegotiator@0,"(4, 10, 0, 'standard')",{},continuing,,,0.9298245614035088,0.21572449642625083
0.013891917,0.0784313725490196,3,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.014627167,0.09803921568627451,4,LinearTBNegotiator@0,"(1, 10, 0, 'premium')",{},continuing,,,0.9122807017543859,0.052956465237166996
0.014627167,0.09803921568627451,4,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.015361834,0.11764705882352941,5,LinearTBNegotiator@0,"(1, 10, 8, 'standard')",{},continuing,,,0.8947368421052633,0.2634827810266407
0.015361834,0.11764705882352941,5,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.01610275,0.13725490196078433,6,LinearTBNegotiator@0,"(0, 10, 1, 'basic')",{},continuing,,,0.8755158095648914,0.22807017543859653
0.01610275,0.13725490196078433,6,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
