run_id,seed,profile_id,n_steps,strategy_buyer,strategy_seller,agreement,agreement_outcome,rounds,u_buyer,u_seller,welfare,frontier_optimal_welfare,pareto_distance,nash_distance,kalai_distance,ks_distance,money_left_on_table,welfare_regret,nash_gap
0,0,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,9,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
1,1,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2,2,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
3,3,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
4,4,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
5,5,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,2,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
6,6,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,0,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
7,7,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
8,8,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,7,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
9,9,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
