run_id,seed,profile_id,n_steps,n_agents,agreement,agreement_outcome,rounds,u_buyer,u_supplier_avg,u_supplier_min,u_supplier_max,welfare,min_utility,utility_range,pareto_distance,money_left_on_table,welfare_regret,nash_gap,strategy_buyer,strategy_supplier_1,u_supplier_1,strategy_supplier_2,u_supplier_2
0,0,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,BoulwareTBNegotiator,0.7540345729693289
1,1,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,BoulwareTBNegotiator,0.7540345729693289
2,2,M1,20,3,0,,9,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,BoulwareTBNegotiator,0.0009692888480767269
3,3,M1,20,3,0,,15,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,BoulwareTBNegotiator,0.0009692888480767269
4,4,M1,20,3,0,,9,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,BoulwareTBNegotiator,0.0009692888480767269
5,5,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,BoulwareTBNegotiator,0.7540345729693289
6,6,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,BoulwareTBNegotiator,0.7540345729693289
7,7,M1,20,3,0,,6,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,BoulwareTBNegotiator,0.0009692888480767269
8,8,M1,20,3,0,,7,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,BoulwareTBNegotiator,0.0009692888480767269
9,9,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,BoulwareTBNegotiator,0.7540345729693289
